year,code,name,ASAL,DrySpell4_MAM,DrySpell4_MAMJJA,DrySpell4_OND
2011,51351,-999,1,6.6,8.9,5.6
2012,51351,-999,1,5.7,9.1,7.3
2013,51351,-999,1,6.6,9.8,6.6
2014,51351,-999,1,7.2,12,6
2015,51351,-999,1,4.7,8.1,7.5
2016,51351,-999,1,3.2,7.3,3.9
2017,51351,-999,1,3,6.8,6.2
1981,51352,-999,1,4.2,6.3,5.6
1982,51352,-999,1,5.1,7.1,6.5
1983,51352,-999,1,5.4,8,6.3
1984,51352,-999,1,5.1,6.8,5.4
1985,51352,-999,1,5.6,7.4,6.6
1986,51352,-999,1,5.2,7.1,6.6
1987,51352,-999,1,6.6,9.1,5.2
1988,51352,-999,1,4.5,6.8,6.1
1989,51352,-999,1,6.7,8.6,7.1
1990,51352,-999,1,5,6.5,5.5
1991,51352,-999,1,7.2,9.4,7.4
1992,51352,-999,1,5.8,8,6.7
1993,51352,-999,1,5.9,7.6,5.6
1994,51352,-999,1,6.6,9.3,6.5
1995,51352,-999,1,6.8,9.1,6.9
1996,51352,-999,1,6.4,8.8,5.9
1997,51352,-999,1,4.4,6.4,6.8
1998,51352,-999,1,6.1,8.9,6.4
1999,51352,-999,1,5.8,7.9,5.7
2000,51352,-999,1,5.6,7.1,5
2001,51352,-999,1,5.9,8.2,6
2002,51352,-999,1,6.6,8.1,5.4
2003,51352,-999,1,4.9,6.7,5.9
2004,51352,-999,1,5.6,7.1,6.4
2005,51352,-999,1,6.4,8.2,6.4
2006,51352,-999,1,6.3,8.1,5
2007,51352,-999,1,5.2,8,5.2
2008,51352,-999,1,5.6,7.7,4.7
2009,51352,-999,1,5.7,7,6
2010,51352,-999,1,6,7.7,5.6
2011,51352,-999,1,5.7,7.6,5.3
2012,51352,-999,1,5.7,7.3,6.8
2013,51352,-999,1,4.6,6.7,5.7
2014,51352,-999,1,6.4,8.1,5.1
2015,51352,-999,1,6.2,8.2,6.8
2016,51352,-999,1,3.5,7,1.5
2017,51352,-999,1,1.6,4.3,5.5
1981,51354,-999,1,1.1,5.6,4.7
1982,51354,-999,1,6,13.4,6.8
1983,51354,-999,1,6.9,13.3,4.1
1984,51354,-999,1,6.7,12,4.4
1985,51354,-999,1,4.9,12,6.4
1986,51354,-999,1,5.4,11.2,5.9
1987,51354,-999,1,6.3,12.1,7.4
1988,51354,-999,1,4.5,11.6,4.4
1989,51354,-999,1,5.4,9.7,5.8
1990,51354,-999,1,5.5,12.9,5.1
1991,51354,-999,1,6.4,12.5,5.8
1992,51354,-999,1,6.8,14.3,4.8
1993,51354,-999,1,6.1,11.8,4.5
1994,51354,-999,1,6.8,13.7,6.7
1995,51354,-999,1,6.6,11.8,4.6
1996,51354,-999,1,6.1,11.9,6
1997,51354,-999,1,2.7,8.7,7.3
1998,51354,-999,1,5.3,12.5,5.9
1999,51354,-999,1,5.7,12,8.2
2000,51354,-999,1,8.1,14.1,7.5
2001,51354,-999,1,4.6,11.4,4.8
2002,51354,-999,1,6.4,12.2,5.8
2003,51354,-999,1,4.8,11.5,5.4
2004,51354,-999,1,6,12.2,4.8
2005,51354,-999,1,6.4,13.6,5
2006,51354,-999,1,6.6,12.4,4.9
2007,51354,-999,1,6,11.3,4.2
2008,51354,-999,1,5.3,10.7,5.2
2009,51354,-999,1,6.6,12.9,5.4
2010,51354,-999,1,5.7,11.4,5.2
2011,51354,-999,1,5.6,10.8,5.3
2012,51354,-999,1,4.7,12,7.2
2013,51354,-999,1,4.9,10.6,7.7
2014,51354,-999,1,6.2,13.1,6.6
2015,51354,-999,1,4.9,11.2,5
2016,51354,-999,1,4.6,7.5,3
2017,51354,-999,1,4.1,9.6,6.6
1981,51359,-999,1,1.1,3.6,5.6
1982,51359,-999,1,6.7,12,6.3
1983,51359,-999,1,5.9,10.3,3.9
1984,51359,-999,1,6.4,9.2,4
1985,51359,-999,1,4.3,8.8,6.8
1986,51359,-999,1,5.8,9.9,5.3
1987,51359,-999,1,6.5,11.8,7.1
1988,51359,-999,1,5.3,10.5,5.4
1989,51359,-999,1,5.3,8.6,5.7
1990,51359,-999,1,5.7,9.7,5.4
1991,51359,-999,1,6.8,10.5,7
1992,51359,-999,1,7.1,11,7.2
1993,51359,-999,1,7.6,11.2,5.4
1994,51359,-999,1,7.7,12.5,7.3
1995,51359,-999,1,7.4,11.6,5.1
1996,51359,-999,1,5.6,10.9,6.5
1997,51359,-999,1,2.7,6.7,7.9
1998,51359,-999,1,4.7,10,6.9
1999,51359,-999,1,6.2,10.1,7.1
2000,51359,-999,1,7.8,11,8.9
2001,51359,-999,1,5.5,9.4,6.5
2002,51359,-999,1,6.4,10.1,6.1
2003,51359,-999,1,4.7,8.6,6.4
2004,51359,-999,1,6.9,10.6,5.6
2005,51359,-999,1,5.7,11,7.2
2006,51359,-999,1,5.7,8,6.2
2007,51359,-999,1,5.7,10.3,5.6
2008,51359,-999,1,4.8,7.6,5.9
2009,51359,-999,1,6.2,8.3,4.9
